start,end,day_count
2020-11-30T00:00:00.000Z,2020-12-01T00:00:00.000Z,3943
2020-12-01T00:00:00.000Z,2020-12-02T00:00:00.000Z,4183
2020-12-02T00:00:00.000Z,2020-12-03T00:00:00.000Z,4492
2020-12-03T00:00:00.000Z,2020-12-04T00:00:00.000Z,4615
2020-12-04T00:00:00.000Z,2020-12-05T00:00:00.000Z,4206
2020-12-05T00:00:00.000Z,2020-12-06T00:00:00.000Z,5147
2020-12-06T00:00:00.000Z,2020-12-07T00:00:00.000Z,6708
2020-12-07T00:00:00.000Z,2020-12-08T00:00:00.000Z,6644
2020-12-08T00:00:00.000Z,2020-12-09T00:00:00.000Z,9836
2020-12-09T00:00:00.000Z,2020-12-10T00:00:00.000Z,6623
2020-12-10T00:00:00.000Z,2020-12-11T00:00:00.000Z,6118
2020-12-11T00:00:00.000Z,2020-12-12T00:00:00.000Z,9127
2020-12-12T00:00:00.000Z,2020-12-13T00:00:00.000Z,4900
2020-12-13T00:00:00.000Z,2020-12-14T00:00:00.000Z,6679
2020-12-14T00:00:00.000Z,2020-12-15T00:00:00.000Z,5070
2020-12-15T00:00:00.000Z,2020-12-16T00:00:00.000Z,4465
2020-12-16T00:00:00.000Z,2020-12-17T00:00:00.000Z,4488
2020-12-17T00:00:00.000Z,2020-12-18T00:00:00.000Z,4227
2020-12-18T00:00:00.000Z,2020-12-19T00:00:00.000Z,4274
2020-12-19T00:00:00.000Z,2020-12-20T00:00:00.000Z,3624
2020-12-20T00:00:00.000Z,2020-12-21T00:00:00.000Z,3505
2020-12-21T00:00:00.000Z,2020-12-22T00:00:00.000Z,3959
2020-12-22T00:00:00.000Z,2020-12-23T00:00:00.000Z,3955
2020-12-23T00:00:00.000Z,2020-12-24T00:00:00.000Z,3668
2020-12-24T00:00:00.000Z,2020-12-25T00:00:00.000Z,4003
2020-12-25T00:00:00.000Z,2020-12-26T00:00:00.000Z,2938
2020-12-26T00:00:00.000Z,2020-12-27T00:00:00.000Z,3228
